caldt,spindx
19721229,118.05
19730131,116.03
19730228,111.68
19730330,111.52
19730430,106.97
19730531,104.95
19730629,104.26
19730731,108.22
19730831,104.25
19730928,108.43
19731031,108.29
19731130,95.96
19731231,97.55
19740131,96.57
19740228,96.22
19740329,93.98
19740430,90.31
19740531,87.28
19740628,86
19740731,79.31
19740830,72.15
19740930,63.54
19741031,73.9
19741129,69.97
19741231,68.56
19750131,76.98
19750228,81.59
19750331,83.36
19750430,87.3
19750530,91.15
19750630,95.19
19750731,88.75
19750829,86.88
19750930,83.87
19751031,89.04
19751128,91.24
19751231,90.19
19760130,100.86
19760227,99.71
19760331,102.77
19760430,101.64
19760528,100.18
19760630,104.28
19760730,103.44
19760831,102.91
19760930,105.24
19761029,102.9
19761130,102.1
19761231,107.46
19770131,102.03
19770228,99.82
19770331,98.42
19770429,98.44
19770531,96.12
19770630,100.48
19770729,98.85
19770831,96.77
19770930,96.53
19771031,92.34
19771130,94.83
19771230,95.1
19780131,89.25
19780228,87.04
19780331,89.21
19780428,96.83
19780531,97.24
19780630,95.53
19780731,100.68
19780831,103.29
19780929,102.54
19781031,93.15
19781130,94.7
19781229,96.11
19790131,99.93
19790228,96.28
19790330,101.59
19790430,101.76
19790531,99.08
19790629,102.91
19790731,103.81
19790831,109.32
19790928,109.32
19791031,101.82
19791130,106.16
19791231,107.94
19800131,114.16
19800229,113.66
19800331,102.09
19800430,106.29
19800530,111.24
19800630,114.24
19800731,121.67
19800829,122.38
19800930,125.46
19801031,127.47
19801128,140.52
19801231,135.76
19810130,129.55
19810227,131.27
19810331,136
19810430,132.81
19810529,132.59
19810630,131.21
19810731,130.92
19810831,122.79
19810930,116.18
19811030,121.89
19811130,126.35
19811231,122.55
19820129,120.4
19820226,113.11
19820331,111.96
19820430,116.44
19820528,111.88
19820630,109.61
19820730,107.09
19820831,119.51
19820930,120.42
19821029,133.71
19821130,138.54
19821231,140.64
19830131,145.3
19830228,148.06
19830331,152.96
19830429,164.42
19830531,162.39
19830630,168.11
19830729,162.56
19830831,164.4
19830930,166.07
19831031,163.55
19831130,166.4
19831230,164.93
19840131,163.41
19840229,157.06
19840330,159.18
19840430,160.05
19840531,150.55
19840629,153.18
19840731,150.66
19840831,166.68
19840928,166.1
19841031,166.09
19841130,163.58
19841231,167.24
19850131,179.63
19850228,181.19
19850329,180.66
19850430,179.83
19850531,189.55
19850628,191.85
19850731,190.92
19850830,188.63
19850930,182.08
19851031,189.82
19851129,202.17
19851231,211.28
19860131,211.78
19860228,226.92
19860331,238.9
19860430,235.52
19860530,247.35
19860630,250.84
19860731,236.12
19860829,252.93
19860930,231.32
19861031,243.98
19861128,249.22
19861231,242.17
19870130,274.08
19870227,284.2
19870331,291.7
19870430,288.36
19870529,290.1
19870630,304
19870731,318.66
19870831,329.8
19870930,321.83
19871030,251.79
19871130,230.3
19871231,247.08
19880129,257.07
19880229,267.82
19880331,258.89
19880429,261.33
19880531,262.16
19880630,273.5
19880729,272.02
19880831,261.52
19880930,271.91
19881031,278.97
19881130,273.7
19881230,277.72
19890131,297.47
19890228,288.86
19890331,294.87
19890428,309.64
19890531,320.52
19890630,317.98
19890731,346.08
19890831,351.45
19890929,349.15
19891031,340.36
19891130,345.99
19891229,353.4
19900131,329.08
19900228,331.89
19900330,339.94
19900430,330.8
19900531,361.23
19900629,358.02
19900731,356.15
19900831,322.56
19900928,306.05
19901031,304
19901130,322.22
19901231,330.22
19910131,343.93
19910228,367.07
19910328,375.22
19910430,375.35
19910531,389.83
19910628,371.16
19910731,387.81
19910830,395.43
19910930,387.86
19911031,392.46
19911129,375.22
19911231,417.09
19920131,408.79
19920228,412.7
19920331,403.69
19920430,414.95
19920529,415.35
19920630,408.14
19920731,424.21
19920831,414.03
19920930,417.8
19921030,418.68
19921130,431.35
19921231,435.71
19930129,438.78
19930226,443.38
19930331,451.67
19930430,440.19
19930528,450.19
19930630,450.53
19930730,448.13
19930831,463.56
19930930,458.93
19931029,467.83
19931130,461.79
19931231,466.45
19940131,481.61
19940228,467.14
